#SuperEvent_ID		BNS	NSBH	BBH	MassGap	Terrestrial
S190408an   	      	0.0	0.0	1.0	0.0	0.0
S190412m		0.0	0.0	1.0	0.0	0.0
S190421ar		0.0	0.0	0.9674  0.0	0.0326
S190425z		0.9994	0.0	0.0	0.0	0.0006
S190426c		0.2437  0.0639	0.0	0.1173	0.5750
S190503bf		0.0	0.0047	0.9628	0.0323	0.0001
S190510g		0.9797	0.0	0.0	0.0	0.0203
S190512at		0.0	0.0	0.9899	0.0	0.0101
S190513bm		0.0	0.0052	0.9427	0.0521	0.0
S190517h		0.0	0.0008	0.9826	0.0166	0.0
S190519bj		0.0	0.0	0.9558	0.0	0.0442
S190521g		0.0	0.0	0.9659	0.0	0.0341
S190521r		0.0	0.0	0.9993	0.0	0.0007
S190602aq		0.0	0.0	0.9903	0.0	0.0097
S190630ag		0.0	0.0052	0.9427	0.0521	0.0
S190701ah		0.0	0.0	0.9344	0.0	0.0656
S190706ai		0.0	0.0	0.9898	0.0	0.0102
S190707q		0.0	0.0	1.0	0.0	0.0
S190718y		0.0207	0.0	0.0	0.0	0.9793
S190720a		0.0	0.0	0.9893	0.0	0.0107
S190727h		0.0	0.0019	0.9221	0.0282	0.0478
S190728q		0.0	0.1435	0.3400	0.5165	0.0
S190814bv		0.0   	0.9979	0.0	0.0021	0.0
S190828j		0.0 	0.0	1.0	0.0 	0.0
S190828l		0.0	0.0	1.0	0.0	0.0
S190901ap		0.8607	0.0	0.0	0.0	0.1393
S190910d		0.0	0.9759	0.0	0.0	0.0241
S190910h		0.6122	0.0	0.0	0.0	0.3878
S190915ak		0.0	0.0	0.9947	0.0	0.0053
S190923y		0.0	0.6778	0.0	0.0	0.3222
S190924h		0.0     0.0	0.0	1.0	0.0
S190930s		0.0	0.0	0.0	0.9508	0.0492
S190930t		0.0	0.7426  0.0	0.0	0.2574
S191105e		0.0	0.0	0.9531	0.0	0.0469
S191109d		0.0	0.0	1.0	0.0	0.0
S191129u		0.0	0.0	1.0	0.0	0.0
S191204r		0.0	0.0	1.0	0.0	0.0
S191205ah		0.0	0.9321	0.0	0.0	0.0679
S191213g		0.7680  0.0	0.0	0.0	0.2320
S191215w		0.0	0.0	0.9972	0.0	0.0028
S191216ap		0.0	0.0	0.9907	0.0093	0.0
S191222n		0.0	0.0	0.9999	0.0	0.0001
S200105ae		0.0	0.0273	0.0	0.0	0.9727
S200112r		0.0	0.0	0.9997	0.0	0.0003
S200114f		-9.9	-9.9	-9.9	-9.9	-9.9
S200115j		0.0	0.0	0.0	0.9997	0.0003
S200128d		0.0	0.0	0.9690  0.0	0.0310
S200129m		0.0	0.0	1.00	0.0	0.0
S200208q		0.0	0.0	0.9934	0.0	0.0066
S200213t		0.6295  0.0	0.0	0.0	0.3705
S200219ac		0.0	0.0	0.9640	0.0	0.0360	
S200224ca		0.0	0.0	0.9999  0.0	0.0001
S200225q		0.0	0.0	0.9566	0.0	0.0434
S200302c		0.0	0.0	0.8896	0.0	0.1104
S200311bg		0.0	0.0	1.0000	0.0	0.0	
S200316bj		0.0	0.0	0.0	0.9957	0.0042
